instance_class,seed,method,makespan,runtime_sec,best_for_instance,gap_pct
Tiny,101,Random-1,330.410000,0.000205,296.410000,11.470598
Tiny,101,Random-30,302.410000,0.002329,296.410000,2.024223
Tiny,101,VAA,299.410000,0.001601,296.410000,1.012112
Tiny,101,Paper-SA-RL5-300,296.410000,0.111312,296.410000,0.000000
Tiny,101,CPG-ALNS-300,299.410000,0.487256,296.410000,1.012112
Tiny,102,Random-1,648.960000,0.000095,585.040000,10.925749
Tiny,102,Random-30,687.550000,0.002093,585.040000,17.521879
Tiny,102,VAA,668.550000,0.001485,585.040000,14.274238
Tiny,102,Paper-SA-RL5-300,585.040000,0.024309,585.040000,0.000000
Tiny,102,CPG-ALNS-300,592.550000,0.404041,585.040000,1.283673
Tiny,103,Random-1,329.920000,0.000087,258.500000,27.628627
Tiny,103,Random-30,271.000000,0.002114,258.500000,4.835590
Tiny,103,VAA,258.500000,0.001479,258.500000,0.000000
Tiny,103,Paper-SA-RL5-300,258.500000,0.022013,258.500000,0.000000
Tiny,103,CPG-ALNS-300,258.500000,0.506451,258.500000,0.000000
Small,201,Random-1,1605.650000,0.000130,1357.290000,18.298227
Small,201,Random-30,1501.390000,0.003294,1357.290000,10.616744
Small,201,VAA,1375.640000,0.004153,1357.290000,1.351959
Small,201,Paper-SA-RL5-300,1357.290000,0.036765,1357.290000,0.000000
Small,201,CPG-ALNS-300,1375.640000,1.124806,1357.290000,1.351959
Small,202,Random-1,1641.000000,0.000137,1238.030000,32.549292
Small,202,Random-30,1471.190000,0.003304,1238.030000,18.833146
Small,202,VAA,1254.730000,0.004150,1238.030000,1.348917
Small,202,Paper-SA-RL5-300,1238.030000,0.036289,1238.030000,0.000000
Small,202,CPG-ALNS-300,1254.730000,0.724904,1238.030000,1.348917
Small,203,Random-1,1625.500000,0.000129,997.100000,63.022766
Small,203,Random-30,1140.200000,0.003315,997.100000,14.351620
Small,203,VAA,1011.560000,0.004166,997.100000,1.450206
Small,203,Paper-SA-RL5-300,997.100000,0.040327,997.100000,0.000000
Small,203,CPG-ALNS-300,1011.560000,0.804679,997.100000,1.450206
Medium-lite,301,Random-1,2351.000000,0.000181,1439.240000,63.350101
Medium-lite,301,Random-30,1598.060000,0.004875,1439.240000,11.034991
Medium-lite,301,VAA,1496.180000,0.009688,1439.240000,3.956255
Medium-lite,301,Paper-SA-RL5-300,1439.240000,0.075033,1439.240000,0.000000
Medium-lite,301,CPG-ALNS-300,1496.180000,1.277640,1439.240000,3.956255
Medium-lite,302,Random-1,2308.410000,0.000186,1796.440000,28.499143
Medium-lite,302,Random-30,2153.420000,0.004884,1796.440000,19.871524
Medium-lite,302,VAA,1796.440000,0.009742,1796.440000,0.000000
Medium-lite,302,Paper-SA-RL5-300,1796.440000,0.072647,1796.440000,0.000000
Medium-lite,302,CPG-ALNS-300,1796.440000,1.472133,1796.440000,0.000000
Medium-lite,303,Random-1,1848.470000,0.000182,1613.720000,14.547133
Medium-lite,303,Random-30,1681.030000,0.004890,1613.720000,4.171108
Medium-lite,303,VAA,1735.580000,0.009746,1613.720000,7.551496
Medium-lite,303,Paper-SA-RL5-300,1613.720000,0.066422,1613.720000,0.000000
Medium-lite,303,CPG-ALNS-300,1735.580000,1.632533,1613.720000,7.551496
