instance_class,seed,method,makespan,runtime_sec,best_for_instance,gap_pct
Medium,401,Random-1,3643.630000,0.000500,2133.010000,70.821046
Medium,401,Random-30,2523.570000,0.015280,2133.010000,18.310275
Medium,401,VAA,2252.390000,0.020228,2133.010000,5.596786
Medium,401,Paper-SA-RL5-300,2175.630000,0.185131,2133.010000,1.998115
Medium,401,DestAgent-RL-150,2162.500000,1.569887,2133.010000,1.382553
Medium,401,CargoMatrix-RL-150,2151.960000,1.600834,2133.010000,0.888416
Medium,401,TopLoad-CargoMatrix-RL-150,2173.010000,1.598427,2133.010000,1.875284
Medium,401,GraphCargoMatrix-RL-150,2133.010000,5.045952,2133.010000,0.000000
Medium,401,CPG-ALNS-300,2156.890000,11.318775,2133.010000,1.119545
Medium,401,TopLoad-CargoMatrix-RL-150+CPG-ALNS-300,2170.000000,10.901501,2133.010000,1.734169
Medium,402,Random-1,4169.000000,0.000357,2717.050000,53.438472
Medium,402,Random-30,3369.680000,0.010310,2717.050000,24.019801
Medium,402,VAA,2813.330000,0.012717,2717.050000,3.543549
Medium,402,Paper-SA-RL5-300,2774.700000,0.254116,2717.050000,2.121786
Medium,402,DestAgent-RL-150,2772.380000,1.847419,2717.050000,2.036400
Medium,402,CargoMatrix-RL-150,2758.530000,1.652048,2717.050000,1.526656
Medium,402,TopLoad-CargoMatrix-RL-150,2772.380000,1.606563,2717.050000,2.036400
Medium,402,GraphCargoMatrix-RL-150,2772.380000,5.344298,2717.050000,2.036400
Medium,402,CPG-ALNS-300,2738.330000,16.868838,2717.050000,0.783202
Medium,402,TopLoad-CargoMatrix-RL-150+CPG-ALNS-300,2717.050000,18.850983,2717.050000,0.000000
Big,501,Random-1,5496.350000,0.000596,3951.000000,39.112883
Big,501,Random-30,4867.840000,0.018580,3951.000000,23.205264
Big,501,VAA,4118.700000,0.038333,3951.000000,4.244495
Big,501,Paper-SA-RL5-300,4035.870000,0.247227,3951.000000,2.148064
Big,501,DestAgent-RL-150,3984.340000,3.864951,3951.000000,0.843837
Big,501,CargoMatrix-RL-150,4017.760000,4.115004,3951.000000,1.689699
Big,501,TopLoad-CargoMatrix-RL-150,3980.720000,4.031623,3951.000000,0.752215
Big,501,GraphCargoMatrix-RL-150,4011.760000,14.647678,3951.000000,1.537839
Big,501,CPG-ALNS-300,3951.000000,80.080902,3951.000000,0.000000
Big,501,TopLoad-CargoMatrix-RL-150+CPG-ALNS-300,3980.720000,92.531326,3951.000000,0.752215
Big,502,Random-1,5030.720000,0.000694,4082.450000,23.227964
Big,502,Random-30,4971.560000,0.020039,4082.450000,21.778834
Big,502,VAA,4169.680000,0.041631,4082.450000,2.136707
Big,502,Paper-SA-RL5-300,4169.680000,0.229328,4082.450000,2.136707
Big,502,DestAgent-RL-150,4138.410000,4.587267,4082.450000,1.370746
Big,502,CargoMatrix-RL-150,4082.450000,4.673404,4082.450000,0.000000
Big,502,TopLoad-CargoMatrix-RL-150,4113.090000,4.638321,4082.450000,0.750530
Big,502,GraphCargoMatrix-RL-150,4097.000000,19.244069,4082.450000,0.356404
Big,502,CPG-ALNS-300,4155.100000,62.187115,4082.450000,1.779569
Big,502,TopLoad-CargoMatrix-RL-150+CPG-ALNS-300,4104.840000,64.137041,4082.450000,0.548445
